iteration,f1_weighted,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
27,0.9774040519671148,2022-06-28 15:35:39.456973,2022-06-28 15:35:41.332008,0 days 00:00:01.875035,7.9,0.0002542098250104354,0.010976199943976632,14,4076,squared_hinge,2564428,True,l1,COMPLETE
63,0.9773908880581105,2022-06-28 15:36:30.618930,2022-06-28 15:36:32.436435,0 days 00:00:01.817505,3.2,0.0006791466017524209,0.026112228299774356,19,193,squared_hinge,2957593,True,l1,COMPLETE
25,0.9756665122150118,2022-06-28 15:35:37.299182,2022-06-28 15:35:38.883297,0 days 00:00:01.584115,7.8,0.00023558459017951035,0.03151253565931191,17,5485,squared_hinge,2843803,True,l1,COMPLETE
22,0.9754905234845659,2022-06-28 15:35:32.425700,2022-06-28 15:35:33.993519,0 days 00:00:01.567819,7.7,0.0006134018313589271,0.0447194369254563,17,5721,squared_hinge,4245521,True,l1,COMPLETE
92,0.9754438242366964,2022-06-28 15:37:17.089781,2022-06-28 15:37:18.659766,0 days 00:00:01.569985,0.9,0.0006914581282914594,0.03719450292170551,14,4180,squared_hinge,2085421,True,l1,COMPLETE
52,0.9754105521276973,2022-06-28 15:36:15.106561,2022-06-28 15:36:16.780154,0 days 00:00:01.673593,1.3000000000000003,4.08660587099888e-05,0.04179145101784653,12,7396,squared_hinge,3118893,True,l1,COMPLETE
39,0.9746643644866322,2022-06-28 15:35:56.501080,2022-06-28 15:35:58.163650,0 days 00:00:01.662570,2.2,0.0009877050863592728,0.03517718613022306,11,1531,squared_hinge,3365904,True,l1,COMPLETE
58,0.9745824924469421,2022-06-28 15:36:24.231760,2022-06-28 15:36:25.560063,0 days 00:00:01.328303,4.5,0.0009823683116789376,0.047870895392479594,18,7422,squared_hinge,2256569,True,l1,COMPLETE
93,0.9745089296558269,2022-06-28 15:37:18.659933,2022-06-28 15:37:20.266983,0 days 00:00:01.607050,1.0,0.0006943471443257213,0.047476920155924716,14,4041,squared_hinge,2084747,True,l1,COMPLETE
46,0.9743819228723005,2022-06-28 15:36:06.046633,2022-06-28 15:36:07.784881,0 days 00:00:01.738248,3.1,0.00021005882722637383,0.033047857032359386,12,1522,squared_hinge,4122168,True,l1,COMPLETE
82,0.9743508153733673,2022-06-28 15:37:02.286463,2022-06-28 15:37:03.749765,0 days 00:00:01.463302,1.3000000000000003,0.0007956859779399827,0.03723151333699299,17,1708,squared_hinge,2836788,True,l1,COMPLETE
69,0.9743501807986106,2022-06-28 15:36:40.954821,2022-06-28 15:36:42.413761,0 days 00:00:01.458940,1.3000000000000003,0.0007929581563750939,0.03631764149871262,16,4825,squared_hinge,2664739,True,l1,COMPLETE
19,0.9742220320493771,2022-06-28 15:35:27.547698,2022-06-28 15:35:29.269091,0 days 00:00:01.721393,7.5,0.00012691624495536418,0.038911856987888044,14,7108,squared_hinge,2096054,True,l1,COMPLETE
12,0.9739555183531513,2022-06-28 15:35:16.787897,2022-06-28 15:35:18.485429,0 days 00:00:01.697532,9.9,0.0003384220944645646,0.06592929781025104,16,9895,squared_hinge,3326869,True,l1,COMPLETE
66,0.9738643722158907,2022-06-28 15:36:35.656012,2022-06-28 15:36:37.660777,0 days 00:00:02.004765,3.5000000000000004,0.000583775618838992,0.014540190657690943,17,7399,squared_hinge,1187573,True,l1,COMPLETE
17,0.9738643722158907,2022-06-28 15:35:24.475079,2022-06-28 15:35:26.333210,0 days 00:00:01.858131,8.8,0.0003657581587950253,0.06337518436256516,20,8569,squared_hinge,4001484,True,l1,COMPLETE
28,0.9738643722158907,2022-06-28 15:35:41.332142,2022-06-28 15:35:43.373439,0 days 00:00:02.041297,8.1,0.0002598374239663442,0.015116652684256913,17,3150,squared_hinge,2772917,True,l1,COMPLETE
11,0.9738643722158907,2022-06-28 15:35:14.651015,2022-06-28 15:35:16.787778,0 days 00:00:02.136763,8.9,5.363405888203885e-05,0.06303560920007477,15,9815,squared_hinge,3812397,True,l1,COMPLETE
81,0.9738643722158907,2022-06-28 15:36:59.819314,2022-06-28 15:37:02.286206,0 days 00:00:02.466892,8.8,0.0009566596786651979,0.03612708039955878,16,4770,squared_hinge,2584511,True,l1,COMPLETE
95,0.9738643722158907,2022-06-28 15:37:22.211410,2022-06-28 15:37:24.023959,0 days 00:00:01.812549,2.9000000000000004,0.0006947779975979802,0.05107610286774016,15,4295,squared_hinge,2031787,True,l1,COMPLETE
96,0.9738643722158907,2022-06-28 15:37:24.024162,2022-06-28 15:37:25.845385,0 days 00:00:01.821223,4.2,0.0007306060562777193,0.05459769132692345,14,3451,squared_hinge,2403180,True,l1,COMPLETE
73,0.9738625720159231,2022-06-28 15:36:47.322246,2022-06-28 15:36:48.923239,0 days 00:00:01.600993,2.3000000000000003,0.00018213957792862943,0.054460632878382445,19,2151,squared_hinge,3249691,True,l1,COMPLETE
4,0.9738625720159231,2022-06-28 15:35:04.914581,2022-06-28 15:35:06.374786,0 days 00:00:01.460205,3.3000000000000003,0.0008065125312764987,0.0019912285605388448,16,6353,squared_hinge,6012785,True,l1,COMPLETE
13,0.973493228326342,2022-06-28 15:35:18.485559,2022-06-28 15:35:20.230397,0 days 00:00:01.744838,10.0,0.0002804057762988003,0.06833977178942262,16,9964,squared_hinge,2841271,True,l1,COMPLETE
61,0.9734582863135306,2022-06-28 15:36:27.915623,2022-06-28 15:36:29.198181,0 days 00:00:01.282558,3.6,0.0009655985644952703,0.059261339471182534,16,8075,squared_hinge,2252139,True,l1,COMPLETE
49,0.9734132725334529,2022-06-28 15:36:10.808561,2022-06-28 15:36:12.127925,0 days 00:00:01.319364,2.0,0.0004928661372956464,0.018551082136344935,19,2437,squared_hinge,3528116,True,l1,COMPLETE
62,0.9733614016557771,2022-06-28 15:36:29.198367,2022-06-28 15:36:30.618743,0 days 00:00:01.420376,4.3,0.0009048830641096512,0.03957796033814833,18,6177,squared_hinge,3902258,True,l1,COMPLETE
45,0.9732054026782251,2022-06-28 15:36:04.520416,2022-06-28 15:36:06.046474,0 days 00:00:01.526058,6.9,0.0006307244938194411,0.04742304810122757,10,8067,squared_hinge,3058766,True,l1,COMPLETE
51,0.9727600434772172,2022-06-28 15:36:13.563868,2022-06-28 15:36:15.106397,0 days 00:00:01.542529,2.5000000000000004,0.00014346089381879777,0.03761749041826622,14,1620,squared_hinge,2465033,True,l1,COMPLETE
50,0.9726772439153591,2022-06-28 15:36:12.128076,2022-06-28 15:36:13.563713,0 days 00:00:01.435637,3.8000000000000003,0.0003289458022658778,0.00942502952802034,13,3250,squared_hinge,4007816,True,l1,COMPLETE
14,0.9724368677621219,2022-06-28 15:35:20.230530,2022-06-28 15:35:21.650727,0 days 00:00:01.420197,9.8,0.0003330245866481864,0.052587525359581166,13,8953,squared_hinge,3242358,True,l1,COMPLETE
71,0.9723845253340526,2022-06-28 15:36:44.449402,2022-06-28 15:36:45.731668,0 days 00:00:01.282266,3.0000000000000004,0.0007090011388492764,0.032758114102926145,13,1219,squared_hinge,3784706,True,l1,COMPLETE
0,0.9722554311196091,2022-06-28 15:35:02.030513,2022-06-28 15:35:03.199090,0 days 00:00:01.168577,6.5,3.128160113466175e-05,0.06160118142656368,14,8337,squared_hinge,4925694,True,l1,COMPLETE
18,0.9722554311196091,2022-06-28 15:35:26.333401,2022-06-28 15:35:27.547564,0 days 00:00:01.214163,6.5,0.0003769130990369067,0.09916352835917402,20,8577,squared_hinge,7400889,True,l1,COMPLETE
42,0.9720250498766428,2022-06-28 15:36:00.233174,2022-06-28 15:36:01.562915,0 days 00:00:01.329741,1.8000000000000003,0.0008398442553264969,0.002304630705593471,11,5885,squared_hinge,3592278,True,l1,COMPLETE
21,0.971685563114787,2022-06-28 15:35:30.652216,2022-06-28 15:35:32.425532,0 days 00:00:01.773316,9.1,0.00038413053601716836,0.05768535356629223,20,8681,squared_hinge,139425,True,l1,COMPLETE
37,0.9695760201714948,2022-06-28 15:35:54.247768,2022-06-28 15:35:55.923704,0 days 00:00:01.675936,7.2,0.0007462447622951282,0.057112587316671994,19,6101,squared_hinge,4214108,True,l1,COMPLETE
33,0.969379410212594,2022-06-28 15:35:49.537591,2022-06-28 15:35:51.849429,0 days 00:00:02.311838,5.7,0.0002013211650738257,0.02552643957526409,18,6491,squared_hinge,2657946,True,l1,COMPLETE
31,0.9667898601485951,2022-06-28 15:35:45.978041,2022-06-28 15:35:48.021300,0 days 00:00:02.043259,7.8,0.00021547020693436702,0.03386634668712531,14,5263,squared_hinge,1842679,True,l1,COMPLETE
70,0.9631827994462844,2022-06-28 15:36:42.413947,2022-06-28 15:36:44.449183,0 days 00:00:02.035236,2.7,0.0007611484011606584,0.020704462173496925,17,6876,squared_hinge,3328266,True,l1,COMPLETE
67,0.9606436758433414,2022-06-28 15:36:37.660960,2022-06-28 15:36:39.328025,0 days 00:00:01.667065,8.5,0.0004354217141439386,0.027818683350881314,18,5525,squared_hinge,2339541,True,l1,COMPLETE
87,0.958840930020633,2022-06-28 15:37:09.405663,2022-06-28 15:37:10.780224,0 days 00:00:01.374561,0.30000000000000004,0.0007444866325298838,0.011789565230910383,17,2867,squared_hinge,2911061,True,l1,COMPLETE
43,0.958840930020633,2022-06-28 15:36:01.563089,2022-06-28 15:36:03.245944,0 days 00:00:01.682855,0.30000000000000004,0.0009252133632388947,0.05208070460795654,12,1996,squared_hinge,2578278,True,l1,COMPLETE
20,0.9581939135523572,2022-06-28 15:35:29.269258,2022-06-28 15:35:30.652025,0 days 00:00:01.382767,7.5,0.0001659284215702619,0.04134028821132847,13,7165,squared_hinge,2065855,True,l1,COMPLETE
64,0.9581939135523572,2022-06-28 15:36:32.436588,2022-06-28 15:36:33.744943,0 days 00:00:01.308355,6.3,0.0006725085687974844,0.006747886217289395,19,157,squared_hinge,8813027,True,l1,COMPLETE
65,0.9581939135523572,2022-06-28 15:36:33.745162,2022-06-28 15:36:35.655830,0 days 00:00:01.910668,4.2,0.0006069363036556107,0.025992534500803896,20,600,squared_hinge,2961877,True,l1,COMPLETE
15,0.9581939135523572,2022-06-28 15:35:21.650836,2022-06-28 15:35:22.979531,0 days 00:00:01.328695,8.6,1.0763184070980306e-05,0.07637907163348118,9,5956,squared_hinge,3250918,True,l1,COMPLETE
77,0.9581939135523572,2022-06-28 15:36:53.095206,2022-06-28 15:36:54.464786,0 days 00:00:01.369580,7.7,0.00011645287669804744,0.030067216844223376,11,4197,squared_hinge,2179018,True,l1,COMPLETE
72,0.9581939135523572,2022-06-28 15:36:45.731849,2022-06-28 15:36:47.321956,0 days 00:00:01.590107,3.2,0.0009373658673071781,0.040157686856479656,12,5733,squared_hinge,4770590,True,l1,COMPLETE
56,0.9581939135523572,2022-06-28 15:36:21.406382,2022-06-28 15:36:22.884669,0 days 00:00:01.478287,1.5000000000000002,0.00025627621486056526,0.03504464371433073,12,5241,squared_hinge,4512210,True,l1,COMPLETE
79,0.9581939135523572,2022-06-28 15:36:57.008968,2022-06-28 15:36:58.440635,0 days 00:00:01.431667,7.9,0.0008709016682668846,0.016807242823359776,12,3544,squared_hinge,1240061,False,l1,COMPLETE
80,0.9581939135523572,2022-06-28 15:36:58.440816,2022-06-28 15:36:59.819102,0 days 00:00:01.378286,5.6,0.0006767920051559144,0.04967522290466151,16,2774,squared_hinge,3110287,True,l1,COMPLETE
83,0.9581939135523572,2022-06-28 15:37:03.749933,2022-06-28 15:37:05.370752,0 days 00:00:01.620819,1.2000000000000002,0.0008265764285514621,0.044277346799563126,17,1743,squared_hinge,3396212,True,l1,COMPLETE
91,0.9581939135523572,2022-06-28 15:37:15.480600,2022-06-28 15:37:17.089589,0 days 00:00:01.608989,1.3000000000000003,0.0007755667093545197,0.035686370597377816,18,4751,squared_hinge,2673226,True,l1,COMPLETE
97,0.9581939135523572,2022-06-28 15:37:25.845584,2022-06-28 15:37:27.423074,0 days 00:00:01.577490,1.7000000000000002,0.00032006427344458827,0.04588366441646378,13,5033,squared_hinge,1990465,True,l1,COMPLETE
60,0.9581939135523572,2022-06-28 15:36:26.188427,2022-06-28 15:36:27.915459,0 days 00:00:01.727032,5.2,0.0008913735654894208,0.048212423096199095,18,6718,squared_hinge,1742921,True,l1,COMPLETE
16,0.9581939135523572,2022-06-28 15:35:22.979658,2022-06-28 15:35:24.474961,0 days 00:00:01.495303,8.4,0.000163674599382308,0.03902277934284533,17,9968,squared_hinge,2342365,True,l1,COMPLETE
44,0.9581939135523572,2022-06-28 15:36:03.246089,2022-06-28 15:36:04.520260,0 days 00:00:01.274171,8.0,0.00054622233204454,0.04138446547719173,5,492,squared_hinge,1509462,True,l1,COMPLETE
29,0.9581939135523572,2022-06-28 15:35:43.373570,2022-06-28 15:35:44.689235,0 days 00:00:01.315665,6.8,0.00044460948640391996,0.010826830745544736,15,4211,squared_hinge,5088674,True,l1,COMPLETE
30,0.9581939135523572,2022-06-28 15:35:44.689431,2022-06-28 15:35:45.977885,0 days 00:00:01.288454,6.1,0.0005572152165911017,0.028909362406064527,12,2579,squared_hinge,6619112,True,l1,COMPLETE
55,0.9581939135523572,2022-06-28 15:36:20.063709,2022-06-28 15:36:21.406157,0 days 00:00:01.342448,1.4000000000000001,2.3122926688192263e-05,0.042711348314950145,10,4413,squared_hinge,2903350,True,l1,COMPLETE
54,0.9581939135523572,2022-06-28 15:36:18.329519,2022-06-28 15:36:20.063532,0 days 00:00:01.734013,2.1,0.00019199161742294144,0.04977983968531296,11,2571,squared_hinge,4075315,True,l1,COMPLETE
24,0.9581939135523572,2022-06-28 15:35:35.669143,2022-06-28 15:35:37.299059,0 days 00:00:01.629916,6.0,0.0005533031661645633,0.0462688687265496,14,3827,squared_hinge,5449719,True,l1,COMPLETE
32,0.9581939135523572,2022-06-28 15:35:48.021417,2022-06-28 15:35:49.537372,0 days 00:00:01.515955,7.1,7.689843933865653e-05,0.04516262057571752,14,7024,squared_hinge,3698735,True,l1,COMPLETE
48,0.9581939135523572,2022-06-28 15:36:09.188571,2022-06-28 15:36:10.808411,0 days 00:00:01.619840,1.0,0.0003057176649016278,0.02302098582678789,9,882,squared_hinge,5788186,False,l1,COMPLETE
41,0.9581939135523572,2022-06-28 15:35:58.743232,2022-06-28 15:36:00.233038,0 days 00:00:01.489806,3.9000000000000004,0.0008587861854584357,0.03575511656894026,10,4536,squared_hinge,9964534,True,l1,COMPLETE
10,0.9581917487768267,2022-06-28 15:35:13.313824,2022-06-28 15:35:14.650905,0 days 00:00:01.337081,0.5,0.0006573753597049533,0.03730045593981983,15,3041,squared_hinge,8466436,True,l1,COMPLETE
68,0.9581917487768267,2022-06-28 15:36:39.328191,2022-06-28 15:36:40.954652,0 days 00:00:01.626461,0.6,0.0005135337012574817,0.043038318451557867,19,7793,squared_hinge,1864081,False,l1,COMPLETE
85,0.9581917487768267,2022-06-28 15:37:07.317621,2022-06-28 15:37:08.762552,0 days 00:00:01.444931,0.7000000000000001,0.0002774583037093621,0.04164691702893833,13,2165,squared_hinge,2508416,True,l1,COMPLETE
53,0.9581917487768267,2022-06-28 15:36:16.780385,2022-06-28 15:36:18.329353,0 days 00:00:01.548968,0.9,5.3660329834007354e-05,0.054790807892813986,12,3674,squared_hinge,3136182,True,l1,COMPLETE
90,0.9579079745906258,2022-06-28 15:37:13.811469,2022-06-28 15:37:15.480423,0 days 00:00:01.668954,2.6,0.00022899694378624065,0.03961901152351975,17,363,squared_hinge,3566544,False,l1,COMPLETE
89,0.9576198696300856,2022-06-28 15:37:12.227047,2022-06-28 15:37:13.811267,0 days 00:00:01.584220,0.1,0.0005249882260774816,0.03456559064490204,10,5251,squared_hinge,4191554,True,l1,COMPLETE
94,0.9573730167418432,2022-06-28 15:37:20.267222,2022-06-28 15:37:22.211213,0 days 00:00:01.943991,0.9,0.0005893069625202537,0.04812810320459557,14,4006,squared_hinge,1587860,True,l1,COMPLETE
98,0.9459163918687291,2022-06-28 15:37:27.423329,2022-06-28 15:37:29.177634,0 days 00:00:01.754305,0.8,0.0001388227372917916,0.043497412781981035,14,3964,squared_hinge,2221867,True,l1,COMPLETE
23,0.9458070441690122,2022-06-28 15:35:33.993663,2022-06-28 15:35:35.668995,0 days 00:00:01.675332,7.6,0.0006220826814322842,0.02850226020758885,17,5575,squared_hinge,4599204,True,l1,COMPLETE
76,0.94069863345776,2022-06-28 15:36:51.432331,2022-06-28 15:36:53.095013,0 days 00:00:01.662682,5.1,0.0008496863308367868,0.04584309083347632,15,6280,hinge,4236809,True,l1,COMPLETE
8,0.9295082127905155,2022-06-28 15:35:08.988699,2022-06-28 15:35:11.465981,0 days 00:00:02.477282,5.0,0.00024392277234240437,0.05080238897036423,18,7605,hinge,1528782,False,l1,COMPLETE
7,0.9210233873722884,2022-06-28 15:35:07.511618,2022-06-28 15:35:08.988583,0 days 00:00:01.476965,1.8000000000000003,0.00046318269422358045,0.09357039895059753,7,9493,hinge,5806374,True,l1,COMPLETE
84,0.9181724888908518,2022-06-28 15:37:05.370917,2022-06-28 15:37:07.317449,0 days 00:00:01.946532,2.2,0.0006472196739378697,0.023009732382442645,18,1312,squared_hinge,1859045,True,l1,COMPLETE
78,0.9137238945554272,2022-06-28 15:36:54.464969,2022-06-28 15:36:57.008707,0 days 00:00:02.543738,8.3,5.410657514170428e-05,0.03842894699676064,20,805,squared_hinge,5051913,True,l1,COMPLETE
47,0.909217648449717,2022-06-28 15:36:07.785039,2022-06-28 15:36:09.188402,0 days 00:00:01.403363,3.2,0.00022928842605454634,0.03210414214849606,11,1571,hinge,4392201,True,l1,COMPLETE
9,0.9066182082787287,2022-06-28 15:35:11.466110,2022-06-28 15:35:13.313662,0 days 00:00:01.847552,7.5,0.0001483204056574909,0.08533987735926948,10,220,hinge,881920,True,l1,COMPLETE
88,0.9065070805105212,2022-06-28 15:37:10.780443,2022-06-28 15:37:12.226859,0 days 00:00:01.446416,1.5000000000000002,0.000464272533576353,0.08534731601763676,11,8953,hinge,3816021,True,l1,COMPLETE
57,0.9064558533616169,2022-06-28 15:36:22.884813,2022-06-28 15:36:24.231584,0 days 00:00:01.346771,2.8000000000000003,0.0007884455276764787,0.030152805548708833,15,9382,hinge,3436920,True,l1,COMPLETE
35,0.9064545314458603,2022-06-28 15:35:52.463159,2022-06-28 15:35:53.646693,0 days 00:00:01.183534,9.5,0.00029444163319011785,0.008763541592966557,15,4947,hinge,31793,True,l1,COMPLETE
74,0.8737589240172767,2022-06-28 15:36:48.923499,2022-06-28 15:36:50.791220,0 days 00:00:01.867721,7.3,0.00035776560931874364,0.03356782997058078,18,1329,squared_hinge,2755640,True,l1,COMPLETE
40,0.8147946302801139,2022-06-28 15:35:58.163799,2022-06-28 15:35:58.743080,0 days 00:00:00.579281,2.4000000000000004,0.0009987198178672062,0.024332266341562575,8,1066,hinge,5144723,False,l2,COMPLETE
75,0.8147946302801139,2022-06-28 15:36:50.791405,2022-06-28 15:36:51.432138,0 days 00:00:00.640733,1.7000000000000002,0.0003993027680411049,0.027160761353025815,9,512,squared_hinge,3662773,True,l2,COMPLETE
86,0.8147946302801139,2022-06-28 15:37:08.762770,2022-06-28 15:37:09.405469,0 days 00:00:00.642699,1.9000000000000001,0.0009858479705647234,0.03165038899920645,19,8401,squared_hinge,5442140,True,l2,COMPLETE
38,0.8147946302801139,2022-06-28 15:35:55.923897,2022-06-28 15:35:56.500945,0 days 00:00:00.577048,9.3,9.47855656722135e-05,0.044283698711237766,16,6600,hinge,972579,False,l2,COMPLETE
34,0.8147946302801139,2022-06-28 15:35:51.849599,2022-06-28 15:35:52.463007,0 days 00:00:00.613408,4.5,0.0007224929302724607,0.014543994479170423,11,3803,squared_hinge,4752693,False,l2,COMPLETE
1,0.8147946302801139,2022-06-28 15:35:03.199226,2022-06-28 15:35:03.798317,0 days 00:00:00.599091,4.8,0.0009411086575967232,0.021150876244086313,19,6849,squared_hinge,9657324,False,l2,COMPLETE
36,0.8147946302801139,2022-06-28 15:35:53.646843,2022-06-28 15:35:54.247587,0 days 00:00:00.600744,8.2,0.0004163827845818399,0.018877039261688856,13,7642,squared_hinge,1477621,False,l2,COMPLETE
6,0.8147946302801139,2022-06-28 15:35:06.973863,2022-06-28 15:35:07.511516,0 days 00:00:00.537653,3.9000000000000004,0.0004912720321466423,0.02078575112124931,6,4510,hinge,6853354,False,l2,COMPLETE
5,0.8147946302801139,2022-06-28 15:35:06.374912,2022-06-28 15:35:06.973749,0 days 00:00:00.598837,6.7,0.0009147555121377729,0.07574665269057622,11,1924,squared_hinge,952301,False,l2,COMPLETE
26,0.8147946302801139,2022-06-28 15:35:38.883446,2022-06-28 15:35:39.456854,0 days 00:00:00.573408,5.5,0.00011362084864152612,0.031083840975714563,18,5560,squared_hinge,2061770,True,l2,COMPLETE
3,0.8147946302801139,2022-06-28 15:35:04.330834,2022-06-28 15:35:04.914463,0 days 00:00:00.583629,2.9000000000000004,0.0007960668213217669,0.0042983100190649,19,4795,hinge,1052041,False,l2,COMPLETE
2,0.8147946302801139,2022-06-28 15:35:03.798425,2022-06-28 15:35:04.330718,0 days 00:00:00.532293,1.1,0.0006947743972374068,0.021821129817030178,12,7909,hinge,4342153,False,l2,COMPLETE
59,0.8147946302801139,2022-06-28 15:36:25.560220,2022-06-28 15:36:26.188211,0 days 00:00:00.627991,4.7,0.0009761137733752815,0.07097824479633241,17,7448,squared_hinge,543564,True,l2,COMPLETE
99,0.8147946302801139,2022-06-28 15:37:29.177828,2022-06-28 15:37:29.835118,0 days 00:00:00.657290,1.1,8.592741289106833e-05,0.005015749564130957,13,3188,squared_hinge,1636237,True,l2,COMPLETE
