bagging_fraction,bagging_frequency,boosting_type,colsample_bytree,feature_fraction,force_col_wise,learning_rate,max_depth,min_sum_hessian_in_leaf,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
0.6573397197211787,5.219490945047909,gbdt,1.0,0.7601856415953523,+,0.748198334348505,14,0,188.0,0.6304781522733544,0.3316698294352964,0.49663132797261056,0.0038473218902171,131
0.720877930943554,6.599766055061258,gbdt,3.0,0.7215712026635993,+,0.39088057387086744,14,0,197.0,0.054777769822506095,0.2011111090553157,0.9991470592791702,0.0038714810478795,39
0.7533375905797145,6.057919148342014,gbdt,1.0,0.7554415599877574,+,0.5234516200516679,14,0,186.0,0.17047633205786106,0.2294437241714499,0.5375058665741617,0.0039081558886557,267
0.6507264891620341,5.171335393167683,gbdt,1.0,0.6193996465504953,+,0.5822085162610822,14,0,188.0,0.6274924533258656,0.64315410368871,0.5015589500926538,0.0039503350463684,147
0.7338849431094987,5.810905286267957,gbdt,1.0,0.7878927543784631,+,0.3530382524983477,14,0,186.0,0.22046253124989468,0.27948422860773925,0.4516587507790716,0.0040621923560592,263
0.7636277061665303,6.116978474068006,gbdt,2.0,0.729702933060965,+,0.8103629953391749,14,0,185.0,0.5311560098698888,0.6619150441083376,0.47815148071020674,0.0041117941457179,184
0.7154488177074018,5.925904000869211,gbdt,1.0,0.7806186546012291,+,0.42957370790119415,14,0,168.0,0.465352266221242,0.29817643773332186,0.3427275515089572,0.0041770495363196,127
0.7079486899776584,6.077451070529336,gbdt,1.0,0.783621706235176,+,0.4309497181733079,14,0,168.0,0.5922037575818092,0.30682170158885114,0.32291190237425305,0.0041778282110191,258
0.6537327575932249,5.454187883652473,gbdt,1.0,0.6487577143595816,+,0.3699333869573954,14,0,188.0,0.6254777806162416,0.5248888010322845,0.4899208945164325,0.0042061386967993,132
0.7066971223131213,5.770792106915659,gbdt,5.0,0.5315813914168259,+,0.4868348840807007,14,0,197.0,0.6098165813533949,0.15529584431797847,0.4942360144800958,0.0042636019276759,225
0.645148053096218,6.628430122298319,gbdt,1.0,0.6067805824022463,+,0.5480504609161934,12,0,187.0,0.3101905437752299,0.6256273515907631,0.6146652249697826,0.0042682612738035,252
0.7263732402257033,6.80472614160986,gbdt,1.0,0.7681784373723636,+,0.8304985551864902,11,0,197.0,0.1439043896365501,0.1431169527974745,0.9259587678945218,0.0042962073408491,69
0.7878522515244218,5.468586949144948,gbdt,2.0,0.755522137228659,+,0.8907248153015026,14,0,188.0,0.5002808077859704,0.7898785448279537,0.5202889802019307,0.0043091517579654,199
0.6069939536039446,5.3112171805044746,gbdt,4.0,0.6585878673104903,+,0.49792068321723926,14,0,160.0,0.7489584680863937,0.18886046408790036,0.35608388506940103,0.0043616264316682,237
0.7999657999952426,6.635665639320162,gbdt,6.0,0.7986554249828273,+,0.7086512428575056,11,0,171.0,0.22058342599835182,0.05096082565164842,0.9903765367976657,0.0044382511623384,29
0.7924638275972997,5.026213393038615,gbdt,1.0,0.7988612912435705,+,0.9159013039370344,11,0,197.0,0.23816635760008964,0.07454705148256291,0.9970038945213822,0.0044755077247059,28
0.6191620290627107,5.905840923422953,gbdt,1.0,0.5586942143308342,+,0.7408078737152152,14,0,193.0,0.5692226282116336,0.7430213933842766,0.3885817031067368,0.004544695099517,152
0.7998703610451157,5.907563378060431,gbdt,1.0,0.7469748301686178,+,0.7581516573887597,14,0,161.0,0.17553308439894086,0.2584675316922537,0.482062503925757,0.0046124194837459,283
0.7358154509989909,6.597396848609168,gbdt,3.0,0.6967036485455763,+,0.39272275374118976,14,0,155.0,0.12322861454173262,0.005469209654609848,0.9407228704219259,0.0046814788706331,42
0.6625235094132679,5.348977261900124,gbdt,1.0,0.6226668415648183,+,0.2784949237505904,14,0,188.0,0.4950863682039908,0.9084241676264516,0.49347726173566075,0.0047230710479132,151
0.6385254015187847,5.245023823277485,gbdt,3.0,0.6909860428214906,+,0.5093981507389239,14,0,144.0,0.590079265822474,0.3605879353328713,0.6622790956087107,0.0047303781507596,171
0.7829167071444086,5.47680899492427,gbdt,5.0,0.7323689839054379,+,0.44803282914321674,11,0,157.0,0.2182516858430511,0.10622333553696736,0.4511933759702551,0.0047436690057168,293
0.7846846544231901,7.603254703641304,gbdt,6.0,0.7012117394636029,+,0.7294518348959272,11,0,153.0,0.37782162366591276,0.09447204135230441,0.8726087873471824,0.0047868872502735,85
0.606144403856157,5.846806871619646,gbdt,5.0,0.7389533179854061,+,0.1997221946143277,14,0,194.0,0.742077578727215,0.5082893460533168,0.5046524240378074,0.0048310470527767,196
0.6295638282940015,5.44893618412734,gbdt,1.0,0.6459538384251615,+,0.35116359548590653,14,0,167.0,0.6344381978461036,0.5167108475419836,0.48088939148635274,0.0048688390032735,146
0.7377211773352876,5.820142811442977,gbdt,1.0,0.7382814295849348,+,0.2270491151778462,14,0,186.0,0.036029935215775064,0.12119004420741454,0.46060027329024744,0.0048853776714788,264
0.7636320417479532,6.865510790100107,gbdt,2.0,0.7345745838199549,+,0.8601762678731572,9,0,169.0,0.5366007916292445,0.917286816888989,0.4712618317934155,0.0048963003111314,185
0.7096643890799589,5.158310028062838,gbdt,4.0,0.6368859597850544,+,0.24305495195164184,14,0,188.0,0.6169929682710309,0.18325175765120144,0.5179948750044954,0.0049270441420797,161
0.5535198949940182,5.006628531130669,gbdt,5.0,0.6783967374352121,+,0.7966211766430455,9,0,166.0,0.4255369385815948,0.3415510078026601,0.48310426135687373,0.004957744533264,168
0.7465747814838559,5.5427559642767985,gbdt,3.0,0.7846631608705531,+,0.3958212597146736,9,0,164.0,0.2928164916528073,0.31820909555007376,0.3639735951553251,0.0049637770818525,287
0.5906254118562854,5.45041395521275,gbdt,5.0,0.6753109481070596,+,0.3765755050662387,13,0,147.0,0.8351059426132716,0.5237802391755486,0.5162059891601908,0.0049896900700946,236
0.6589655871102611,7.662703827564312,gbdt,6.0,0.7444286476781493,+,0.9986640053880874,14,0,197.0,0.019132936713336775,0.706264655817891,0.7647129261511876,0.005034195247133,76
0.6773245269247828,7.284949743150351,gbdt,1.0,0.6847724452247423,+,0.4194215394084099,9,0,176.0,0.09878094680343483,0.24836609162037876,0.7036818241640381,0.0050620588973039,91
0.6792995161577512,5.689436913070276,gbdt,1.0,0.610010601983764,+,0.9370100670902449,14,0,190.0,0.45293824413485445,0.6390515210342326,0.5516071724490347,0.0050634356153574,150
0.7902362341450044,6.0422689400958385,gbdt,1.0,0.7970857519876352,+,0.2658736603141796,11,0,171.0,0.25099016989820944,0.06658855345494327,0.9770095424768772,0.0051560036341625,67
0.6963781946350305,6.835824800046607,gbdt,4.0,0.7800393198436204,+,0.33759171416242717,9,0,164.0,0.7819386243563766,0.5766578958786218,0.956531741328644,0.0052559185588396,107
0.6280882349742896,6.169512322632822,gbdt,2.0,0.722247934593399,+,0.5553140642539657,14,0,122.0,0.7956958416387898,0.867414323134881,0.6392157343667181,0.005287443896997,219
0.7566736883579794,5.29548336595309,gbdt,1.0,0.7684708437464634,+,0.2714003758722278,9,0,186.0,0.23346988971907406,0.23127023644105887,0.5307832254354208,0.0053489613470305,270
0.6326001019099521,7.5129992747037315,gbdt,2.0,0.6215703440433016,+,0.9960995528049845,14,0,178.0,0.8840455285528697,0.8223644603898057,0.36549431828347895,0.0053510957497909,205
0.5840205142818978,5.794076490246342,gbdt,3.0,0.7831710867839342,+,0.36006158346291955,14,0,129.0,0.8880365178333658,0.4630769692490634,0.43908519928260487,0.0053810539066155,163
0.5198645303923871,6.057903544702618,gbdt,5.0,0.6730998502908936,+,0.19185323835555249,11,0,197.0,0.13814284379016709,0.538510181120891,0.8237277113647942,0.0054004182815675,96
0.6130732578103038,7.107228063784245,gbdt,1.0,0.6343119698703924,+,0.30020560554927417,13,0,155.0,0.7645609069425711,0.35545047795204354,0.4746880157344369,0.0054303731175352,222
0.7983531218771353,7.240921818560846,gbdt,6.0,0.7286937449307324,+,0.594122321660183,8,0,184.0,0.08387792385387322,0.3761422183862564,0.6888597093329624,0.0055296070057924,34
0.5547638609355633,6.527266328126027,gbdt,3.0,0.6941093197688566,+,0.7799640175508895,14,0,131.0,0.3490938825991235,0.06019256109357904,0.5770190574094589,0.0055385358377546,249
0.7295175531141577,5.750014938492348,gbdt,1.0,0.5552254750843003,+,0.22053260533661487,14,0,188.0,0.27814556914420396,0.20003747403753802,0.43708321017650315,0.0055809988600996,297
0.6585201732659551,6.519008783713046,gbdt,1.0,0.7579775529644528,+,0.14142906265608565,14,0,196.0,0.7996384303631241,0.23167487230627914,0.32438203810992566,0.0055900236056866,173
0.7323971501287982,7.3084463159197375,gbdt,1.0,0.7668046355204174,+,0.5844186326423157,11,0,119.0,0.05312625664509707,0.3111668041140886,0.8035033925016514,0.0056032405768692,71
0.6618497845211594,5.37317427749085,gbdt,1.0,0.7643568118923448,+,0.1632230295522507,14,0,174.0,0.07938444228953068,0.29967058699555593,0.5024158593284366,0.0056579775410635,276
0.6521032280862147,5.1847951276659785,gbdt,1.0,0.7996145698948388,+,0.31148064970812256,14,0,132.0,0.14945929423190085,0.3318771741526569,0.6467486706825111,0.0056614359514591,285
0.6395828554382632,6.7392116084781915,gbdt,6.0,0.7490587228799962,+,0.29831538385403417,14,0,126.0,0.25315232512930946,0.36342091616527683,0.8958716819654863,0.0057026418963417,59
0.6383140930060905,5.8273951005892775,gbdt,3.0,0.7618840383111966,+,0.2986062848659469,14,0,130.0,0.01851070782102547,0.22640515752275026,0.46621565500595935,0.0057138493168965,300
0.6040140845236929,5.318411991797135,gbdt,1.0,0.5624271998501913,+,0.5936360936277144,14,0,137.0,0.5646565452440921,0.49512377578694183,0.5482330992762626,0.005719796543569,167
0.704045070089762,5.805565099823677,gbdt,3.0,0.7033168838152407,+,0.40389577152180683,8,0,172.0,0.702711991789636,0.2808714301195844,0.5167992680211594,0.0057387637388126,145
0.6913630975603516,6.731154148628818,gbdt,1.0,0.756074313066456,+,0.9076318110217793,8,0,183.0,0.12408190530448797,0.18586322134171554,0.46736450292541915,0.0057582743131946,286
0.6710186269043047,5.938773366018909,gbdt,1.0,0.7574355507630764,+,0.44959951562699857,9,0,125.0,0.5798279673223714,0.1660986166190883,0.7840922170845991,0.0057644399734774,25
0.668625320359599,5.755913985164627,gbdt,4.0,0.7993334421119322,+,0.3063880594064658,13,0,130.0,0.0716890900432391,0.02509717269258586,0.925702361921496,0.0058010928887214,98
0.7250210039396348,5.574374363638498,gbdt,1.0,0.7809175501349851,+,0.13914519451353854,14,0,192.0,0.13864648355274833,0.18820524665858912,0.561508049006969,0.0058307589769399,268
0.6788144622223146,5.0008630763056585,gbdt,1.0,0.7496812177062233,+,0.8986778779349998,12,0,125.0,0.5260057440682353,0.14838867966724817,0.7814568999910689,0.0058779494631521,21
0.683422301515032,6.006691947537868,gbdt,1.0,0.7517265188485956,+,0.3077253390599871,12,0,125.0,0.5653582791616918,0.1311912868228366,0.8156337224215194,0.0058845206355865,24
0.5678553638007904,6.680625490317759,gbdt,2.0,0.6901717583928747,+,0.23836744059716553,10,0,154.0,0.6064200281457772,0.7456899087937734,0.4600430100168145,0.0059119645495239,240
0.673716517654337,6.168084900775559,gbdt,3.0,0.6662061806829581,+,0.4452574033861701,8,0,140.0,0.6493641517224695,0.4154078876723225,0.6360306162782733,0.0060595086092845,166
0.6758833728992087,5.001331039905851,gbdt,1.0,0.7341284996887266,+,0.4713152887096913,10,0,109.0,0.02783922830564005,0.3496900213427401,0.5232021543776875,0.0061232171721349,281
0.734314351864207,5.976659739957067,gbdt,1.0,0.7563312956895354,+,0.18246547239283417,14,0,143.0,0.04976170771974904,0.27515258204663245,0.5148551683377562,0.0062031870974589,271
0.7261357515163667,5.052385635575157,gbdt,1.0,0.7192348123299039,+,0.6488860893697815,10,0,101.0,0.5567195385104594,0.321006270791445,0.524950190144569,0.0062272384167417,179
0.7456107191358279,7.232365121912033,gbdt,5.0,0.773485777422569,+,0.39294203555413004,13,0,103.0,0.31534530460294313,0.2373492678825632,0.5351429243341363,0.0062478774256948,115
0.6808376465346149,5.34973543632117,gbdt,4.0,0.7424360755436407,+,0.24559952919649503,12,0,125.0,0.48380064524811606,0.1474450573134803,0.8610209861857514,0.0063021196971632,23
0.6467761293645347,6.494295470668508,gbdt,4.0,0.6183533377233822,+,0.543728452953081,12,0,109.0,0.611408356215689,0.42035198682059904,0.9582106716460477,0.0063065688752773,81
0.7503482875410145,6.255612367000129,gbdt,1.0,0.7533472112276548,+,0.8847159243866719,14,0,115.0,0.4617045089264814,0.2918847837068173,0.34800334415225653,0.0063504615254984,260
0.7607277106903575,5.643241839812417,gbdt,1.0,0.7918909101298195,+,0.20273841812361998,14,0,126.0,0.0922492806930344,0.3811080500734415,0.4440809021677864,0.006424743426762,266
0.7512194261296901,6.22735641417229,gbdt,1.0,0.7766955187883298,+,0.3522330117324323,12,0,103.0,0.05949213508540355,0.37095270921497076,0.48977247258981177,0.0064277774521035,294
0.5927606229732374,6.662385849560147,gbdt,2.0,0.706894644678312,+,0.4879775292998813,14,0,94.0,0.6729036848973409,0.669524459510622,0.660497141148199,0.0064377105821696,202
0.7039750652639513,6.196578970347382,gbdt,1.0,0.7767338690435438,+,0.2443792811847065,14,0,113.0,0.2014514040223681,0.16188042616873252,0.4135996133641199,0.0064892514582126,273
0.5010735826396076,5.11771424931751,gbdt,1.0,0.7411417696657912,+,0.12494061995724814,14,0,168.0,0.5483430943588166,0.3623495805158742,0.35795163801974794,0.006493350599657,128
0.7111422854194285,6.760401730906292,gbdt,3.0,0.5069880687307212,+,0.2477278742861841,11,0,148.0,0.9528555981760349,0.2681931897604013,0.8831591168348003,0.0065317985545823,119
0.6413940449608253,5.659253823628855,gbdt,1.0,0.7720743585708023,+,0.5046266232737375,10,0,91.0,0.7411693327431479,0.608715107261566,0.462129594639768,0.0066117306244507,144
0.7406351024772945,6.342057994643401,gbdt,1.0,0.7989603998680829,+,0.39638610662916984,11,0,96.0,0.11736361531626884,0.27675219341353663,0.5478121211490036,0.0066589271187694,275
0.7266632105923675,5.397495921809595,gbdt,2.0,0.5641561260448036,+,0.43665886781104457,14,0,110.0,0.3786918811728789,0.25348537398144405,0.5312099508597997,0.0066635546783722,244
0.6624136939371227,5.762928023058507,gbdt,1.0,0.608858256401753,+,0.2625728958068524,14,0,120.0,0.851671249965224,0.37708243976606776,0.507886666008888,0.0066756829257373,182
0.6007164301786807,7.136869900167886,gbdt,5.0,0.7158461463877414,+,0.11096132551793761,13,0,180.0,0.41715767835880607,0.6524486880006534,0.559444666842823,0.0067103591546504,51
0.7327759813547929,5.3439189216519845,gbdt,2.0,0.5197413348933477,+,0.9985359809453576,14,0,156.0,0.5199946173898713,0.4867100415634865,0.5847933326596236,0.0067192258450742,234
0.7917614986791791,6.599274378864129,gbdt,2.0,0.6492191789244035,+,0.9606936671410493,13,0,124.0,0.6989685946318781,0.8651417002916101,0.6224133251148419,0.006771513080352,191
0.7085909822110156,6.449712908069421,gbdt,1.0,0.7946790904387827,+,0.9999164936023385,14,0,125.0,0.1007189538117931,0.1540028356600729,0.5844615383414423,0.0067880923943458,292
0.6926327377624198,6.864032154581643,gbdt,6.0,0.7225293495578826,+,0.36777822666496635,11,0,95.0,0.18456386926415014,0.126172660608076,0.9222603583159893,0.0068339153737376,73
0.7172226015988166,6.794819847082109,gbdt,1.0,0.7523737767030294,+,0.394582593709185,12,0,90.0,0.14674093297971175,0.1713947270103327,0.9463429752163839,0.0068398555140857,70
0.747834256463973,6.8948325856137815,gbdt,6.0,0.6825780126589,+,0.28131670059682307,11,0,108.0,0.7725338192129466,0.34579961539202986,0.37422366018862574,0.0069007397252672,251
0.7538885230267302,6.0067768204195655,gbdt,3.0,0.6517825568573239,+,0.9898655322340073,14,0,117.0,0.4300069834021518,0.277815831089336,0.7651082735207233,0.006913966482669,228
0.6930289408316554,5.882637299560012,gbdt,3.0,0.7649058921294418,+,0.18263059060654452,14,0,119.0,0.654844391813294,0.21398129973564475,0.6526617458683615,0.0069256186308375,239
0.7744264174656074,6.578371011727246,gbdt,1.0,0.792241784219679,+,0.9970228557570938,11,0,115.0,0.226041869113713,0.02853584626392726,0.9974659432157018,0.0069368000553747,66
0.6696960117873602,6.492869434478978,gbdt,1.0,0.6795075187201186,+,0.478274416898262,9,0,93.0,0.6026519201922782,0.2629363484004906,0.7216819510746841,0.0069490109541217,26
0.737659860647908,7.012906698676628,gbdt,1.0,0.5473168005512006,+,0.8279468776127231,14,0,118.0,0.4478921105269712,0.09605063063417939,0.37627218035358345,0.0069603412162093,217
0.6888181734581565,6.838018124322247,gbdt,5.0,0.7282278036235209,+,0.6768814141879611,10,0,83.0,0.3932327606033304,0.7717177249001339,0.79803351188292,0.0069776358094818,256
0.5259995227987702,6.044569284915771,gbdt,4.0,0.6976436061166066,+,0.3251160665881776,14,0,93.0,0.41010045597449646,0.19952148428309444,0.45295396899467666,0.0069826681666668,178
0.7836889452099083,7.7634837772031275,gbdt,3.0,0.7367524432117466,+,0.3298913413093952,14,0,90.0,0.5001352714703098,0.7827122551974561,0.5515377144207034,0.0069930975430828,243
0.7989267977901122,7.423809854157558,gbdt,4.0,0.7155116032001682,+,0.3870945322671735,10,0,89.0,0.5192290572593034,0.7251945230317385,0.3955345391202903,0.0070805624297509,209
0.7627373689094534,7.408625777071723,gbdt,3.0,0.793539249277345,+,0.08445396910620814,13,0,199.0,0.19639386717073745,0.00047556807314527716,0.8340243015070319,0.0070872499511445,84
0.6854807702840245,5.018645976579231,gbdt,1.0,0.6641686949402797,+,0.3507621878391363,12,0,88.0,0.6341151759086058,0.6780191031230849,0.5241038778048438,0.0070969328372302,220
0.7380675327481151,6.167558728268348,gbdt,6.0,0.574413374482307,+,0.9524484740538278,11,0,122.0,0.2924476712760784,0.4484957589859797,0.6110569328559949,0.007131235622818,37
0.6321657007386892,6.220162700547993,gbdt,5.0,0.5526425033776393,+,0.3041533997972643,12,0,105.0,0.46879694469480204,0.7631996671215886,0.3004420664360234,0.0071817924111473,159
0.599187992192191,7.760160231321505,gbdt,6.0,0.6876644204877903,+,0.14920838216148105,10,0,145.0,0.3462530021886526,0.4230223382656622,0.8985061701844823,0.0071820215552103,117
