iteration,roc_weighted,datetime_start,datetime_complete,duration,metric,n_neighbors,state
31,0.8217075895592173,2022-06-15 11:31:17.719770,2022-06-15 11:32:53.068772,0 days 00:01:35.349002,manhattan,42,COMPLETE
82,0.8217075895592173,2022-06-15 12:51:43.905532,2022-06-15 12:53:18.468557,0 days 00:01:34.563025,chebyshev,42,COMPLETE
64,0.8217075895592173,2022-06-15 12:23:23.186703,2022-06-15 12:24:58.185676,0 days 00:01:34.998973,chebyshev,42,COMPLETE
57,0.8217075895592173,2022-06-15 12:12:22.620830,2022-06-15 12:13:58.051477,0 days 00:01:35.430647,chebyshev,42,COMPLETE
55,0.8217075895592173,2022-06-15 12:09:15.684258,2022-06-15 12:10:50.493129,0 days 00:01:34.808871,chebyshev,42,COMPLETE
66,0.8217075895592173,2022-06-15 12:26:32.766362,2022-06-15 12:28:07.678887,0 days 00:01:34.912525,chebyshev,42,COMPLETE
52,0.8217075895592173,2022-06-15 12:04:30.963402,2022-06-15 12:06:06.099601,0 days 00:01:35.136199,chebyshev,42,COMPLETE
49,0.8217075895592173,2022-06-15 11:59:46.166364,2022-06-15 12:01:21.584179,0 days 00:01:35.417815,chebyshev,42,COMPLETE
69,0.8217075895592173,2022-06-15 12:31:18.391051,2022-06-15 12:32:53.029424,0 days 00:01:34.638373,minkowski,42,COMPLETE
71,0.8217075895592173,2022-06-15 12:34:27.538144,2022-06-15 12:36:02.101605,0 days 00:01:34.563461,minkowski,42,COMPLETE
75,0.8217075895592173,2022-06-15 12:40:43.116361,2022-06-15 12:42:17.747865,0 days 00:01:34.631504,minkowski,42,COMPLETE
81,0.8217075895592173,2022-06-15 12:50:09.354099,2022-06-15 12:51:43.905388,0 days 00:01:34.551289,chebyshev,42,COMPLETE
61,0.8217075895592173,2022-06-15 12:18:38.130519,2022-06-15 12:20:13.470622,0 days 00:01:35.340103,chebyshev,42,COMPLETE
98,0.8217075895592173,2022-06-15 13:17:04.458221,2022-06-15 13:18:39.283730,0 days 00:01:34.825509,chebyshev,42,COMPLETE
88,0.8217075895592173,2022-06-15 13:01:13.523444,2022-06-15 13:02:48.676577,0 days 00:01:35.153133,minkowski,42,COMPLETE
91,0.8217075895592173,2022-06-15 13:05:59.478720,2022-06-15 13:07:34.342512,0 days 00:01:34.863792,minkowski,42,COMPLETE
45,0.8216597323142351,2022-06-15 11:53:29.539666,2022-06-15 11:55:04.095483,0 days 00:01:34.555817,chebyshev,38,COMPLETE
24,0.8216597323142351,2022-06-15 11:20:08.265115,2022-06-15 11:21:42.899731,0 days 00:01:34.634616,manhattan,38,COMPLETE
43,0.8216597323142351,2022-06-15 11:50:19.976352,2022-06-15 11:51:54.997910,0 days 00:01:35.021558,chebyshev,38,COMPLETE
53,0.8216597323142351,2022-06-15 12:06:06.099726,2022-06-15 12:07:40.883684,0 days 00:01:34.783958,chebyshev,38,COMPLETE
28,0.8216165533758396,2022-06-15 11:26:29.779384,2022-06-15 11:28:05.502598,0 days 00:01:35.723214,manhattan,44,COMPLETE
79,0.8216165533758396,2022-06-15 12:46:59.380245,2022-06-15 12:48:34.771337,0 days 00:01:35.391092,minkowski,44,COMPLETE
39,0.8216165533758396,2022-06-15 11:44:00.860871,2022-06-15 11:45:36.351759,0 days 00:01:35.490888,chebyshev,44,COMPLETE
25,0.8216165533758396,2022-06-15 11:21:42.899862,2022-06-15 11:23:18.621153,0 days 00:01:35.721291,manhattan,44,COMPLETE
83,0.8216165533758396,2022-06-15 12:53:18.468703,2022-06-15 12:54:53.098236,0 days 00:01:34.629533,chebyshev,44,COMPLETE
97,0.8216165533758396,2022-06-15 13:15:29.064568,2022-06-15 13:17:04.458061,0 days 00:01:35.393493,chebyshev,44,COMPLETE
6,0.8215751888800877,2022-06-15 10:52:09.956184,2022-06-15 10:53:42.296737,0 days 00:01:32.340553,minkowski,32,COMPLETE
56,0.8215751888800877,2022-06-15 12:10:50.493251,2022-06-15 12:12:22.620707,0 days 00:01:32.127456,chebyshev,32,COMPLETE
42,0.821455149254986,2022-06-15 11:48:44.154258,2022-06-15 11:50:19.976199,0 days 00:01:35.821941,chebyshev,46,COMPLETE
67,0.821455149254986,2022-06-15 12:28:07.679030,2022-06-15 12:29:43.546642,0 days 00:01:35.867612,chebyshev,46,COMPLETE
78,0.821455149254986,2022-06-15 12:45:24.508313,2022-06-15 12:46:59.380106,0 days 00:01:34.871793,chebyshev,46,COMPLETE
89,0.821455149254986,2022-06-15 13:02:48.676730,2022-06-15 13:04:24.277863,0 days 00:01:35.601133,chebyshev,46,COMPLETE
13,0.8214260959342579,2022-06-15 11:02:57.684887,2022-06-15 11:04:32.774461,0 days 00:01:35.089574,manhattan,40,COMPLETE
92,0.8214260959342579,2022-06-15 13:07:34.342663,2022-06-15 13:09:08.917000,0 days 00:01:34.574337,minkowski,40,COMPLETE
68,0.8214260959342579,2022-06-15 12:29:43.546772,2022-06-15 12:31:18.390924,0 days 00:01:34.844152,chebyshev,40,COMPLETE
80,0.8214260959342579,2022-06-15 12:48:34.771474,2022-06-15 12:50:09.353950,0 days 00:01:34.582476,minkowski,40,COMPLETE
15,0.8214260959342579,2022-06-15 11:06:07.597641,2022-06-15 11:07:42.401963,0 days 00:01:34.804322,manhattan,40,COMPLETE
74,0.8214260959342579,2022-06-15 12:39:08.152348,2022-06-15 12:40:43.116223,0 days 00:01:34.963875,minkowski,40,COMPLETE
37,0.8214216063393962,2022-06-15 11:40:49.904779,2022-06-15 11:42:26.097201,0 days 00:01:36.192422,euclidean,50,COMPLETE
0,0.8214216063393962,2022-06-15 10:42:53.327605,2022-06-15 10:44:28.983216,0 days 00:01:35.655611,euclidean,50,COMPLETE
29,0.8214216063393962,2022-06-15 11:28:05.502711,2022-06-15 11:29:41.852128,0 days 00:01:36.349417,manhattan,50,COMPLETE
44,0.8213563425332439,2022-06-15 11:51:54.998034,2022-06-15 11:53:29.539528,0 days 00:01:34.541494,chebyshev,34,COMPLETE
60,0.8212968376566083,2022-06-15 12:17:02.272836,2022-06-15 12:18:38.130394,0 days 00:01:35.857558,chebyshev,48,COMPLETE
33,0.8212968376566083,2022-06-15 11:34:28.327216,2022-06-15 11:36:03.789095,0 days 00:01:35.461879,manhattan,48,COMPLETE
87,0.8212968376566083,2022-06-15 12:59:37.981125,2022-06-15 13:01:13.523299,0 days 00:01:35.542174,minkowski,48,COMPLETE
48,0.8211825175713872,2022-06-15 11:58:13.738316,2022-06-15 11:59:46.166232,0 days 00:01:32.427916,chebyshev,30,COMPLETE
17,0.8211769753575434,2022-06-15 11:09:14.327712,2022-06-15 11:10:49.080539,0 days 00:01:34.752827,manhattan,36,COMPLETE
84,0.8211769753575434,2022-06-15 12:54:53.098388,2022-06-15 12:56:27.678369,0 days 00:01:34.579981,minkowski,36,COMPLETE
23,0.8208432235557581,2022-06-15 11:18:36.333533,2022-06-15 11:20:08.265000,0 days 00:01:31.931467,manhattan,28,COMPLETE
16,0.8205716436190461,2022-06-15 11:07:42.402076,2022-06-15 11:09:14.327564,0 days 00:01:31.925488,minkowski,26,COMPLETE
77,0.8200585316425474,2022-06-15 12:43:53.406084,2022-06-15 12:45:24.508170,0 days 00:01:31.102086,euclidean,24,COMPLETE
63,0.8193450085894116,2022-06-15 12:21:48.059854,2022-06-15 12:23:23.186575,0 days 00:01:35.126721,chebyshev,47,COMPLETE
8,0.8193450085894116,2022-06-15 10:55:14.339363,2022-06-15 10:56:50.160255,0 days 00:01:35.820892,chebyshev,47,COMPLETE
36,0.8193450085894116,2022-06-15 11:39:14.164596,2022-06-15 11:40:49.904661,0 days 00:01:35.740065,manhattan,47,COMPLETE
10,0.819270842289469,2022-06-15 10:58:20.179130,2022-06-15 10:59:51.021848,0 days 00:01:30.842718,minkowski,20,COMPLETE
32,0.819253848447382,2022-06-15 11:32:53.068959,2022-06-15 11:34:28.327091,0 days 00:01:35.258132,manhattan,43,COMPLETE
96,0.819253848447382,2022-06-15 13:13:53.785016,2022-06-15 13:15:29.064416,0 days 00:01:35.279400,chebyshev,43,COMPLETE
86,0.819253848447382,2022-06-15 12:58:02.842751,2022-06-15 12:59:37.980988,0 days 00:01:35.138237,euclidean,43,COMPLETE
35,0.819253848447382,2022-06-15 11:37:38.616816,2022-06-15 11:39:14.164475,0 days 00:01:35.547659,manhattan,43,COMPLETE
65,0.819253848447382,2022-06-15 12:24:58.185808,2022-06-15 12:26:32.766207,0 days 00:01:34.580399,chebyshev,43,COMPLETE
41,0.819253848447382,2022-06-15 11:47:08.638944,2022-06-15 11:48:44.154133,0 days 00:01:35.515189,chebyshev,43,COMPLETE
94,0.8191763816786933,2022-06-15 13:10:43.682495,2022-06-15 13:12:18.677448,0 days 00:01:34.994953,minkowski,41,COMPLETE
99,0.8191763816786933,2022-06-15 13:18:39.283909,2022-06-15 13:20:14.285036,0 days 00:01:35.001127,minkowski,41,COMPLETE
62,0.8191763816786933,2022-06-15 12:20:13.470746,2022-06-15 12:21:48.059723,0 days 00:01:34.588977,chebyshev,41,COMPLETE
11,0.8191763816786933,2022-06-15 10:59:51.021967,2022-06-15 11:01:26.220009,0 days 00:01:35.198042,minkowski,41,COMPLETE
21,0.8191763816786933,2022-06-15 11:15:25.867848,2022-06-15 11:17:01.214309,0 days 00:01:35.346461,manhattan,41,COMPLETE
59,0.8191763816786933,2022-06-15 12:15:27.342826,2022-06-15 12:17:02.272707,0 days 00:01:34.929881,euclidean,41,COMPLETE
51,0.8191763816786933,2022-06-15 12:02:56.203961,2022-06-15 12:04:30.963259,0 days 00:01:34.759298,chebyshev,41,COMPLETE
95,0.8191233628409995,2022-06-15 13:12:18.677603,2022-06-15 13:13:53.784853,0 days 00:01:35.107250,chebyshev,37,COMPLETE
27,0.8191233628409995,2022-06-15 11:24:54.518216,2022-06-15 11:26:29.779269,0 days 00:01:35.261053,minkowski,37,COMPLETE
46,0.8191233628409995,2022-06-15 11:55:04.095619,2022-06-15 11:56:38.950020,0 days 00:01:34.854401,chebyshev,37,COMPLETE
34,0.8191233628409995,2022-06-15 11:36:03.789226,2022-06-15 11:37:38.616698,0 days 00:01:34.827472,euclidean,37,COMPLETE
26,0.8191035716322332,2022-06-15 11:23:18.621268,2022-06-15 11:24:54.518081,0 days 00:01:35.896813,manhattan,45,COMPLETE
30,0.8191035716322332,2022-06-15 11:29:41.852254,2022-06-15 11:31:17.719656,0 days 00:01:35.867402,manhattan,45,COMPLETE
73,0.8191035716322332,2022-06-15 12:37:32.429296,2022-06-15 12:39:08.152218,0 days 00:01:35.722922,minkowski,45,COMPLETE
93,0.8191035716322332,2022-06-15 13:09:08.917150,2022-06-15 13:10:43.682353,0 days 00:01:34.765203,minkowski,45,COMPLETE
20,0.8191035716322332,2022-06-15 11:13:51.287295,2022-06-15 11:15:25.867735,0 days 00:01:34.580440,minkowski,45,COMPLETE
76,0.8190257901582789,2022-06-15 12:42:17.748018,2022-06-15 12:43:53.405947,0 days 00:01:35.657929,minkowski,49,COMPLETE
2,0.8190257901582789,2022-06-15 10:45:58.036663,2022-06-15 10:47:33.919295,0 days 00:01:35.882632,euclidean,49,COMPLETE
7,0.8189230795020938,2022-06-15 10:53:42.296842,2022-06-15 10:55:14.339251,0 days 00:01:32.042409,chebyshev,31,COMPLETE
4,0.8189230795020938,2022-06-15 10:49:03.134327,2022-06-15 10:50:35.450294,0 days 00:01:32.315967,manhattan,31,COMPLETE
14,0.8189146422226762,2022-06-15 11:04:32.774574,2022-06-15 11:06:07.597528,0 days 00:01:34.822954,manhattan,39,COMPLETE
85,0.8189146422226762,2022-06-15 12:56:27.678517,2022-06-15 12:58:02.842606,0 days 00:01:35.164089,chebyshev,39,COMPLETE
90,0.8189146422226762,2022-06-15 13:04:24.278024,2022-06-15 13:05:59.478540,0 days 00:01:35.200516,chebyshev,39,COMPLETE
50,0.8189146422226762,2022-06-15 12:01:21.584310,2022-06-15 12:02:56.203808,0 days 00:01:34.619498,chebyshev,39,COMPLETE
47,0.8189146422226762,2022-06-15 11:56:38.950151,2022-06-15 11:58:13.738153,0 days 00:01:34.788002,chebyshev,39,COMPLETE
38,0.818811075532316,2022-06-15 11:42:26.097359,2022-06-15 11:44:00.860732,0 days 00:01:34.763373,manhattan,33,COMPLETE
5,0.818811075532316,2022-06-15 10:50:35.450396,2022-06-15 10:52:09.956060,0 days 00:01:34.505664,minkowski,33,COMPLETE
70,0.8187609441778121,2022-06-15 12:32:53.029555,2022-06-15 12:34:27.538004,0 days 00:01:34.508449,minkowski,35,COMPLETE
54,0.8187609441778121,2022-06-15 12:07:40.883803,2022-06-15 12:09:15.684138,0 days 00:01:34.800335,chebyshev,35,COMPLETE
22,0.8187609441778121,2022-06-15 11:17:01.214433,2022-06-15 11:18:36.333418,0 days 00:01:35.118985,manhattan,35,COMPLETE
40,0.8186044242749266,2022-06-15 11:45:36.351907,2022-06-15 11:47:08.638810,0 days 00:01:32.286903,chebyshev,29,COMPLETE
18,0.8177406643534502,2022-06-15 11:10:49.080650,2022-06-15 11:12:20.942395,0 days 00:01:31.861745,manhattan,23,COMPLETE
12,0.8172888985373847,2022-06-15 11:01:26.220127,2022-06-15 11:02:57.684763,0 days 00:01:31.464636,euclidean,21,COMPLETE
19,0.8144896211942794,2022-06-15 11:12:20.942507,2022-06-15 11:13:51.287176,0 days 00:01:30.344669,minkowski,15,COMPLETE
72,0.8144896211942794,2022-06-15 12:36:02.101745,2022-06-15 12:37:32.429164,0 days 00:01:30.327419,minkowski,15,COMPLETE
9,0.8112993904490162,2022-06-15 10:56:50.160364,2022-06-15 10:58:20.179021,0 days 00:01:30.018657,chebyshev,11,COMPLETE
58,0.8081143075851891,2022-06-15 12:13:58.051609,2022-06-15 12:15:27.342697,0 days 00:01:29.291088,chebyshev,7,COMPLETE
1,0.8060404902687008,2022-06-15 10:44:28.983375,2022-06-15 10:45:58.036516,0 days 00:01:29.053141,chebyshev,5,COMPLETE
3,0.8032500025314987,2022-06-15 10:47:33.919397,2022-06-15 10:49:03.134223,0 days 00:01:29.214826,euclidean,3,COMPLETE
